idx,milhar,dezena,grupo,animal,hora,local,tipo
49,2485,85,22,Tigre,14:00,,Vespertino
50,8037,37,10,Coelho,14:00,,Vespertino
51,6610,10,3,Burro,14:00,,Vespertino
52,8816,16,4,Borboleta,14:00,,Vespertino
53,0090,90,23,Urso,14:00,,Vespertino
54,0446,46,12,Elefante,14:00,,Vespertino
55,8622,22,6,Cabra,14:00,,Vespertino
56,0324,24,6,Cabra,14:00,,Vespertino
57,8008,8,2,Águia,14:00,,Vespertino
58,8046,46,12,Elefante,13:00,,Vespertino
59,1942,42,11,Cavalo,13:00,,Vespertino
60,6062,62,16,Leão,13:00,,Vespertino
61,2356,56,14,Gato,13:00,,Vespertino
62,2071,71,18,Porco,13:00,,Vespertino
63,8547,47,12,Elefante,13:00,,Vespertino
64,1784,84,21,Touro,13:00,,Vespertino
65,5624,24,6,Cabra,13:00,,Vespertino
66,4763,63,16,Leão,13:00,,Vespertino
67,2815,15,4,Borboleta,13:00,,Vespertino
68,0576,76,19,Pavão,11:00,,Diurno
69,7482,82,21,Touro,11:00,,Diurno
70,1744,44,11,Cavalo,11:00,,Diurno
71,5406,6,2,Águia,11:00,,Diurno
72,7507,7,2,Águia,11:00,,Diurno
73,1819,19,5,Cachorro,11:00,,Diurno
74,2163,63,16,Leão,11:00,,Diurno
75,8671,71,18,Porco,11:00,,Diurno
76,9588,88,22,Tigre,11:00,,Diurno
77,7128,28,7,Carneiro,11:00,,Diurno
78,5816,16,4,Borboleta,09:00,,Diurno
79,0167,67,17,Macaco,09:00,,Diurno
80,7931,31,8,Camelo,09:00,,Diurno
81,0790,90,23,Urso,09:00,,Diurno
82,2429,29,8,Camelo,09:00,,Diurno
83,4327,27,7,Carneiro,09:00,,Diurno
84,6269,69,18,Porco,09:00,,Diurno
85,8681,81,21,Touro,09:00,,Diurno
86,8263,63,16,Leão,17:00,,Vespertino
87,2468,68,17,Macaco,17:00,,Vespertino
88,4326,26,7,Carneiro,17:00,,Vespertino
89,2268,68,17,Macaco,17:00,,Vespertino
90,9791,91,23,Urso,17:00,,Vespertino
91,8822,22,6,Cabra,17:00,,Vespertino
92,7074,74,19,Pavão,17:00,,Vespertino
93,9742,42,11,Cavalo,17:00,,Vespertino
94,5606,6,2,Águia,17:00,,Vespertino
95,2951,51,13,Galo,17:00,,Vespertino
96,0407,7,2,Águia,17:00,,Vespertino
97,7952,52,13,Galo,17:00,,Vespertino
98,0769,69,18,Porco,17:00,,Vespertino
99,7405,5,2,Águia,17:00,,Vespertino
100,4261,61,16,Leão,17:00,,Vespertino
101,6167,67,17,Macaco,17:00,,Vespertino
